"id","lottery","z1","z2","p1","ce","female","semester","highincome"
1,10,50,20,0.25,25.25,1,4,0
1,8,20,0,0.95,17.5,1,4,0
1,9,0,-10,0.1,-8.75,1,4,0
1,1,10,0,0.1,1.75,1,4,0
1,2,50,0,0.9,23.75,1,4,0
1,3,-50,-150,0.05,-122.5,1,4,0
1,4,20,10,0.5,13.25,1,4,0
1,5,40,10,0.05,15.25,1,4,0
1,6,150,0,0.5,33.75,1,4,0
1,7,50,20,0.5,34.25,1,4,0
1,21,-10,-40,0.25,-34.75,1,4,0
1,22,0,-20,0.75,-11.5,1,4,0
1,23,20,10,0.9,14.75,1,4,0
1,24,0,-50,0.5,-38.75,1,4,0
1,25,-20,-50,0.5,-46.25,1,4,0
1,26,10,0,0.9,7.75,1,4,0
1,27,40,10,0.75,19.75,1,4,0
1,28,50,0,0.5,13.75,1,4,0
1,29,20,0,0.05,1.5,1,4,0
1,30,20,10,0.1,11.25,1,4,0
1,31,-10,-20,0.1,-17.75,1,4,0
1,32,0,-10,0.5,-5.25,1,4,0
1,33,0,-20,0.95,-3.5,1,4,0
1,34,-10,-20,0.5,-15.25,1,4,0
1,35,40,10,0.95,25.75,1,4,0
1,36,-10,-40,0.5,-33.25,1,4,0
1,37,150,50,0.05,55,1,4,0
1,38,-10,-40,0.75,-31.75,1,4,0
1,39,40,10,0.5,18.25,1,4,0
1,40,0,-50,0.1,-46.25,1,4,0
1,41,-20,-50,0.05,-48.5,1,4,0
1,42,10,0,0.5,4.25,1,4,0
1,43,-20,-50,0.75,-38.75,1,4,0
1,44,50,0,0.1,6.25,1,4,0
1,45,-10,-40,0.05,-38.5,1,4,0
1,46,0,-150,0.5,-131.25,1,4,0
1,47,0,-10,0.9,-6.75,1,4,0
1,48,-10,-40,0.95,-21.25,1,4,0
1,49,20,0,0.75,9.5,1,4,0
1,50,-20,-50,0.25,-46.25,1,4,0
1,11,50,20,0.75,35.75,1,4,0
1,12,40,10,0.25,18.25,1,4,0
1,13,-10,-20,0.9,-15.25,1,4,0
1,14,0,-20,0.05,-18.5,1,4,0
1,15,-20,-50,0.95,-29.75,1,4,0
1,16,50,20,0.95,40.25,1,4,0
1,17,50,20,0.05,22.25,1,4,0
1,18,0,-20,0.25,-9.5,1,4,0
1,19,0,-50,0.9,-21.25,1,4,0
1,20,20,0,0.25,9.5,1,4,0
2,31,-10,-20,0.1,-17.25,1,2,0
2,32,0,-10,0.5,-9.5,1,2,0
2,33,0,-20,0.95,-3.5,1,2,0
2,34,-10,-20,0.5,-15.75,1,2,0
2,35,40,10,0.95,34.75,1,2,0
2,36,-10,-40,0.5,-30.25,1,2,0
2,37,150,50,0.05,67.5,1,2,0
2,38,-10,-40,0.75,-24.25,1,2,0
2,39,40,10,0.5,25.75,1,2,0
2,40,0,-50,0.1,-28.75,1,2,0
2,1,10,0,0.1,0.5,1,2,0
2,2,50,0,0.9,16.25,1,2,0
2,4,20,10,0.5,15.25,1,2,0
2,5,40,10,0.05,11.5,1,2,0
2,6,150,0,0.5,56.25,1,2,0
2,7,50,20,0.5,21.5,1,2,0
2,8,20,0,0.95,20,1,2,0
