"id","lottery","z1","z2","p1","ce","female","semester","highincome"
1,2,15,4,0.05,5.925,0,1,0
1,3,55,20,0.05,26.125,0,1,0
1,5,20,7,0.05,10.575,0,1,0
1,6,15,4,0.25,9.225,0,1,0
1,8,-4,-15,0.95,-6.475,0,1,0
1,10,-4,-15,0.25,-10.325,0,1,0
1,14,15,4,0.75,13.075,0,1,0
1,18,-4,-7,0.5,-4.975,0,1,0
1,19,-4,-15,0.05,-10.325,0,1,0
1,26,-7,-20,0.25,-11.225,0,1,0
1,30,7,4,0.5,6.025,0,1,0
1,31,15,4,0.95,13.625,0,1,0
1,36,-7,-20,0.95,-8.625,0,1,0
1,40,15,4,0.5,9.775,0,1,0
1,41,-7,-20,0.75,-9.275,0,1,0
1,45,7,4,0.1,6.025,0,1,0
1,47,-4,-7,0.9,-4.975,0,1,0
1,48,-7,-20,0.05,-11.875,0,1,0
1,51,20,7,0.75,17.075,0,1,0
1,58,20,7,0.25,12.525,0,1,0
1,59,-20,-55,0.05,-47.125,0,1,0
1,64,-4,-7,0.1,-4.975,0,1,0
1,66,-7,-20,0.5,-10.575,0,1,0
1,67,7,4,0.9,6.025,0,1,0
1,68,20,7,0.95,17.075,0,1,0
1,72,-4,-15,0.5,-9.225,0,1,0
1,74,20,7,0.5,15.125,0,1,0
1,80,-4,-15,0.75,-7.025,0,1,0
2,2,15,4,0.05,8.125,0,3,0
2,3,55,20,0.05,29.625,0,3,0
2,5,20,7,0.05,10.575,0,3,0
2,6,15,4,0.25,6.475,0,3,0
2,8,-4,-15,0.95,-5.925,0,3,0
2,10,-4,-15,0.25,-11.975,0,3,0
2,14,15,4,0.75,10.875,0,3,0
2,18,-4,-7,0.5,-5.425,0,3,0
2,19,-4,-15,0.05,-13.625,0,3,0
2,26,-7,-20,0.25,-17.725,0,3,0
2,30,7,4,0.5,4.675,0,3,0
2,31,15,4,0.95,13.075,0,3,0
2,36,-7,-20,0.95,-10.575,0,3,0
2,40,15,4,0.5,8.125,0,3,0
2,41,-7,-20,0.75,-11.875,0,3,0
2,45,7,4,0.1,5.275,0,3,0
2,47,-4,-7,0.9,-4.975,0,3,0
2,48,-7,-20,0.05,-17.725,0,3,0
2,51,20,7,0.75,13.825,0,3,0
2,58,20,7,0.25,9.925,0,3,0
2,59,-20,-55,0.05,-45.375,0,3,0
2,64,-4,-7,0.1,-4.825,0,3,0
2,66,-7,-20,0.5,-13.825,0,3,0
2,67,7,4,0.9,6.175,0,3,0
2,68,20,7,0.95,17.725,0,3,0
2,72,-4,-15,0.5,-11.975,0,3,0
2,74,20,7,0.5,13.175,0,3,0
2,80,-4,-15,0.75,-10.325,0,3,0
3,2,15,4,0.05,7.575,0,5,0
3,3,55,20,0.05,29.625,0,5,0
3,5,20,7,0.05,10.575,0,5,0
3,6,15,4,0.25,8.125,0,5,0
3,8,-4,-15,0.95,-5.925,0,5,0
3,10,-4,-15,0.25,-11.425,0,5,0
3,14,15,4,0.75,10.875,0,5,0
3,18,-4,-7,0.5,-5.425,0,5,0
3,19,-4,-15,0.05,-11.975,0,5,0
3,26,-7,-20,0.25,-17.725,0,5,0
3,30,7,4,0.5,5.425,0,5,0
3,31,15,4,0.95,13.075,0,5,0
3,36,-7,-20,0.95,-11.225,0,5,0
3,40,15,4,0.5,9.775,0,5,0
3,41,-7,-20,0.75,-10.575,0,5,0
3,45,7,4,0.1,4.375,0,5,0
3,47,-4,-7,0.9,-4.375,0,5,0
