"gid","sid","dg","order","self_x","self_y","other_x","other_y","choice_x","q","v","s_y","s_x","r_y","r_x","self_z","other_z","pos_reciproc","drop","bf_consciousness","bf_openness","bf_extraversion","bf_agreeableness","bf_neuroticism","pe_D1_stud_natsci","pe_D1_stud_law","pe_D1_stud_socsci","pe_D1_stud_med","cogabil","pe_age","pe_female","pe_monthinc"
10,12010050501,0,33,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,17,4,11,-1,1,0,0,0,3,21,1,400
10,12010050502,0,9,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,22,4,7,7,1,0,0,0,7,21,0,800
10,12010050603,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,4,18,4,9,7,0,0,1,0,3,23,0,800
10,12010050704,0,42,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,17,1,10,7,1,0,0,0,9,22,0,500
10,12010050705,0,13,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,15,-3,12,0,0,0,0,1,4,19,1,350
10,12010050706,0,44,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,23,10,6,4,0,1,0,0,6,20,1,300
10,12010051907,0,36,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,18,3,7,-1,1,0,0,0,11,23,0,500
10,22010050501,0,51,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,1,25,2,10,6,1,0,0,0,4,21,0,800
10,22010050603,0,44,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,20,10,5,3,1,0,0,0,7,21,0,500
10,22010050704,0,14,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,19,4,6,2,1,0,0,0,7,20,1,200
10,22010050705,0,9,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,18,7,10,3,1,0,0,0,6,20,1,350
10,22010050706,0,45,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,0,3,13,11,10,9,1,0,0,0,6,21,1,200
